,ID,Label,Alt Label 1,Alt Label 2,Definition,Definition Source,RDF Type,Class Type,Parent IRI,Parent IRI,Parent IRI,Parent IRI,Parent IRI,Equivalent ,Equivalent ,Individual,Property Assertions,
1030,http://purl.org/pan-science/PaNET/PaNET01030,powder diffraction,,,,https://en.wikipedia.org/wiki/Powder_diffraction,owl:Class,subclass,atomic scale diffraction 3D volume 3D periodic,,,,,,,,,
1031,http://purl.org/pan-science/PaNET/PaNET01031,atomic scale diffraction 2D surface or film,,,,,owl:Class,subclass,atomic scale diffraction,,,,,,,,,
1032,http://purl.org/pan-science/PaNET/PaNET01032,micro scale diffraction,,,,,owl:Class,subclass,diffraction,,,,,,,,,
1033,http://purl.org/pan-science/PaNET/PaNET01033,incoherent scattering,,,,https://en.wikipedia.org/wiki/Incoherent_scatter,owl:Class,subclass,scattering technique,,,,,,,,,
1034,http://purl.org/pan-science/PaNET/PaNET01034,inelastic scattering,,,,https://en.wikipedia.org/wiki/Inelastic_scattering,owl:Class,subclass,incoherent scattering,,,,,,,,,
1035,http://purl.org/pan-science/PaNET/PaNET01035,quasielastic scattering,,,,https://en.wikipedia.org/wiki/Quasielastic_neutron_scattering,owl:Class,subclass,inelastic scattering,,,,,,,,,
1036,http://purl.org/pan-science/PaNET/PaNET01036,high momentum transfer scattering,,,,,owl:Class,subclass,scattering technique,,,,,,,,,
1037,http://purl.org/pan-science/PaNET/PaNET01037,low momentum transfer scattering,,,,,owl:Class,subclass,scattering technique,,,,,,,,,
1038,http://purl.org/pan-science/PaNET/PaNET01038,ultra low momentum transfer scattering,,,,,owl:Class,subclass,low momentum transfer scattering,,,,,,,,,
1039,http://purl.org/pan-science/PaNET/PaNET01039,low surface momentum transfer scattering,,,,,owl:Class,subclass,scattering technique,,,,,,,,,
1040,http://purl.org/pan-science/PaNET/PaNET01040,high momentum transfer resolution scattering,,,,,owl:Class,subclass,scattering technique,,,,,,,,,
1041,http://purl.org/pan-science/PaNET/PaNET01041,coherent emission technique,,,,,owl:Class,subclass,emission technique,,,,,,,,,
1042,http://purl.org/pan-science/PaNET/PaNET01042,high energy resolution emission technique,,,,,owl:Class,subclass,emission technique,,,,,,,,,
1043,http://purl.org/pan-science/PaNET/PaNET01043,photon emission technique,,,,,owl:Class,subclass,emission technique,,,,,,,,,
1044,http://purl.org/pan-science/PaNET/PaNET01044,visible photon emission technique,,,,,owl:Class,subclass,photon emission technique,,,,,,,,,
1045,http://purl.org/pan-science/PaNET/PaNET01045,x-ray emission technique,,,,,owl:Class,subclass,photon emission technique,,,,,,,,,
1046,http://purl.org/pan-science/PaNET/PaNET01046,gamma-ray emission technique,,,,,owl:Class,subclass,photon emission technique,,,,,,,,,
1047,http://purl.org/pan-science/PaNET/PaNET01047,electron emission technique,,,,https://en.wikipedia.org/wiki/Electron_emission,owl:Class,subclass,emission technique,,,,,,,,,
1048,http://purl.org/pan-science/PaNET/PaNET01048,ion emission technique,,,,,owl:Class,subclass,emission technique,,,,,,,,,
1049,http://purl.org/pan-science/PaNET/PaNET01049,resonant scattering,,,,,owl:Class,subclass,resonance phenomenon,scattering technique,,,,,,,,
1050,http://purl.org/pan-science/PaNET/PaNET01050,nuclear resonance,,,,,owl:Class,subclass,resonance phenomenon,,,,,,,,,
1051,http://purl.org/pan-science/PaNET/PaNET01051,muon spin resonance,MuSR,,,https://en.wikipedia.org/wiki/Muon_spin_spectroscopy,owl:Class,subclass,resonance phenomenon,,,,,,,,,
1052,http://purl.org/pan-science/PaNET/PaNET01052,spin echo technique,,,,https://en.wikipedia.org/wiki/Spin_echo,owl:Class,subclass,resonance phenomenon,,,,,,,,,
1053,http://purl.org/pan-science/PaNET/PaNET01053,electronic excitation,,,,,owl:Class,subclass,resonance phenomenon,,,,,,,,,
1054,http://purl.org/pan-science/PaNET/PaNET01054,atomic core excitation,,,,,owl:Class,subclass,electronic excitation,,,,,,,,,
1055,http://purl.org/pan-science/PaNET/PaNET01055,photo excitation,,,,,owl:Class,subclass,electronic excitation,,,,,,,,,
1056,http://purl.org/pan-science/PaNET/PaNET01056,versus incident energy,,,,,owl:Class,subclass,versus energy,,,,,,,,,
1057,http://purl.org/pan-science/PaNET/PaNET01057,versus emitted energy,,,,,owl:Class,subclass,versus energy,,,,,,,,,
1058,http://purl.org/pan-science/PaNET/PaNET01058,versus emission momentum,,,,,owl:Class,subclass,versus emitted energy,,,,,,,,,
1059,http://purl.org/pan-science/PaNET/PaNET01059,versus energy loss,,,,,owl:Class,subclass,versus energy,,,,,,,,,
1060,http://purl.org/pan-science/PaNET/PaNET01060,versus emitted polarization,,,,,owl:Class,subclass,versus polarization,,,,,,,,,
1061,http://purl.org/pan-science/PaNET/PaNET01061,versus photon linear polarization,,,,,owl:Class,subclass,versus polarization,photon probe,,,,,,,,
1062,http://purl.org/pan-science/PaNET/PaNET01062,versus photon circular polarization,,,,,owl:Class,subclass,versus polarization,photon probe,,,,,,,,
1063,http://purl.org/pan-science/PaNET/PaNET01063,versus time ultrafast,,,,,owl:Class,subclass,versus time,,,,,,,,,
1064,http://purl.org/pan-science/PaNET/PaNET01064,versus sample temperature,,,,,owl:Class,subclass,versus sample state,,,,,,,,,
1065,http://purl.org/pan-science/PaNET/PaNET01065,versus sample pressure,,,,,owl:Class,subclass,versus sample state,,,,,,,,,
1066,http://purl.org/pan-science/PaNET/PaNET01066,versus sample magnetic field,,,,,owl:Class,subclass,versus sample state,,,,,,,,,
1067,http://purl.org/pan-science/PaNET/PaNET01067,versus sample electric field,,,,,owl:Class,subclass,versus sample state,,,,,,,,,
1068,http://purl.org/pan-science/PaNET/PaNET01068,obtain high resolution spatial map,,,,,owl:Class,subclass,obtain spatial map,,,,,,,,,
1069,http://purl.org/pan-science/PaNET/PaNET01069,microscopy,,,,https://en.wikipedia.org/wiki/Microscopy,owl:Class,subclass,obtain high resolution spatial map,imaging,,,,,,,,
1070,http://purl.org/pan-science/PaNET/PaNET01070,obtain ultrahigh resolution spatial map,,,,,owl:Class,subclass,obtain high resolution spatial map,microscopy,,,,,,,,
1071,http://purl.org/pan-science/PaNET/PaNET01071,obtain 3D spatial map,,,,,owl:Class,subclass,obtain spatial map,,,,,,,,,
1072,http://purl.org/pan-science/PaNET/PaNET01072,obtain electronic density of states,,,,https://en.wikipedia.org/wiki/Density_of_states,owl:Class,subclass,obtain electronic ground state properties,,,,,,,,,
1073,http://purl.org/pan-science/PaNET/PaNET01073,obtain electronic density of occupied states,,,,,owl:Class,subclass,obtain electronic density of states,,,,,,,,,
1074,http://purl.org/pan-science/PaNET/PaNET01074,obtain electronic density of unoccupied states,,,,,owl:Class,subclass,obtain electronic density of states,,,,,,,,,
1075,http://purl.org/pan-science/PaNET/PaNET01075,obtain electronic band structure,,,,https://en.wikipedia.org/wiki/Electronic_band_structure,owl:Class,subclass,obtain electronic ground state properties,,,,,,,,,
1076,http://purl.org/pan-science/PaNET/PaNET01076,obtain atomic tensor properties,,,,,owl:Class,subclass,obtain electronic ground state properties,,,,,,,,,
1077,http://purl.org/pan-science/PaNET/PaNET01077,obtain magnetic vector,,,,,owl:Class,subclass,obtain atomic tensor properties,,,,,,,,,
1078,http://purl.org/pan-science/PaNET/PaNET01078,obtain charge quadrupole,,,,,owl:Class,subclass,obtain atomic tensor properties,,,,,,,,,
1079,http://purl.org/pan-science/PaNET/PaNET01079,obtain atomic magnetic structure,,,,https://en.wikipedia.org/wiki/Magnetic_structure,owl:Class,subclass,obtain electronic ground state properties,,,,,,,,,
1080,http://purl.org/pan-science/PaNET/PaNET01080,obtain charge density,,,,,owl:Class,subclass,obtain electronic ground state properties,,,,,,,,,
1081,http://purl.org/pan-science/PaNET/PaNET01081,obtain magnetic density,,,,,owl:Class,subclass,obtain electronic ground state properties,,,,,,,,,
1082,http://purl.org/pan-science/PaNET/PaNET01082,crystallography,obtain crystal structure,,,https://en.wikipedia.org/wiki/Crystallography,owl:Class,subclass,obtain atomic structure,,,,,,,,,
1083,http://purl.org/pan-science/PaNET/PaNET01083,obtain local coordination,,,,https://en.wikipedia.org/wiki/Crystal_structure#Atomic_coordination,owl:Class,subclass,obtain atomic structure,,,,,,,,,
1084,http://purl.org/pan-science/PaNET/PaNET01084,time dependent study,time resolved study,,,,owl:Class,subclass,versus time,,,,,,,,,
1085,http://purl.org/pan-science/PaNET/PaNET01085,characterize electronic excitations,,,,,owl:Class,subclass,characterize excitations,,,,,,,,,
1086,http://purl.org/pan-science/PaNET/PaNET01086,characterize magnetic excitations,,,,,owl:Class,subclass,characterize electronic excitations,,,,,,,,,
1087,http://purl.org/pan-science/PaNET/PaNET01087,characterize lattice excitations,,,,,owl:Class,subclass,characterize excitations,,,,,,,,,
1088,http://purl.org/pan-science/PaNET/PaNET01088,absorption contrast imaging,,,Absorption Contrast Imaging,,owl:Class,subclass,absorption technique,imaging,,,,,,,,
1089,http://purl.org/pan-science/PaNET/PaNET01089,angle resolved photoemission spectroscopy,ARPES,,Angle resolved photoemission spectroscopy,https://en.wikipedia.org/wiki/Angle-resolved_photoemission_spectroscopy,owl:Class,subclass,photoelectron emission,versus emission momentum,obtain electronic band structure,,,,,,,
1090,http://purl.org/pan-science/PaNET/PaNET01090,dichroism,,,Any technique that depends essentially on probe polarization,,owl:Class,subclass,versus polarization,photon probe,,,,,,,,
1091,http://purl.org/pan-science/PaNET/PaNET01091,dichroism spectroscopy,,,,,owl:Class,subclass,dichroism,spectroscopy,,,,,,,,
1092,http://purl.org/pan-science/PaNET/PaNET01092,emission spectroscopy,,,,,owl:Class,subclass,emission technique,versus emitted energy,,,,,,,,
1093,http://purl.org/pan-science/PaNET/PaNET01093,photoemission spectroscopy,,,,https://en.wikipedia.org/wiki/Photoemission_spectroscopy,owl:Class,subclass,emission spectroscopy,photoelectron emission,,,,,,,,
1094,http://purl.org/pan-science/PaNET/PaNET01094,fluorescence luminescence,,,,,owl:Class,subclass,visible photon emission technique,,,,,,,,,
1095,http://purl.org/pan-science/PaNET/PaNET01095,x-ray fluorescence spectroscopy,,,,,owl:Class,subclass,x-ray probe,x-ray emission technique,versus incident energy,,,,,,,
1096,http://purl.org/pan-science/PaNET/PaNET01096,fluorescence tomography,,,,,owl:Class,subclass,photon emission technique,tomography,,,,,,,,
1097,http://purl.org/pan-science/PaNET/PaNET01097,gamma spectroscopy,,,,https://en.wikipedia.org/wiki/Gamma_spectroscopy,owl:Class,subclass,gamma-ray emission technique,spectroscopy,,,,,,,,
1098,http://purl.org/pan-science/PaNET/PaNET01098,grazing incidence diffraction,,,,https://en.wikipedia.org/wiki/Grazing_incidence_diffraction,owl:Class,subclass,low surface momentum transfer scattering,,,,,,,,,
1099,http://purl.org/pan-science/PaNET/PaNET01099,grazing incidence small angle scattering,GISAS,grazing incidence SAS,,https://en.wikipedia.org/wiki/Grazing-incidence_small-angle_scattering,owl:Class,subclass,grazing incidence diffraction,small angle scattering,,,,,,,,
1100,http://purl.org/pan-science/PaNET/PaNET01100,neutron powder diffraction,NPD,,A neutron powder diffraction technique,,owl:Class,subclass,powder diffraction,neutron diffraction,,,,,,,,
1101,http://purl.org/pan-science/PaNET/PaNET01101,x-ray powder diffraction,XPD,,,,owl:Class,subclass,powder diffraction,x-ray probe,,,,,,,,
1102,http://purl.org/pan-science/PaNET/PaNET01102,x-ray single crystal diffraction,single crystal x-ray diffraction,SXRD,,,owl:Class,subclass,x-ray probe,single crystal diffraction,,,,,,,,
1103,http://purl.org/pan-science/PaNET/PaNET01103,hard x-ray photoelectron spectroscopy,HAXPES,hard photoelectron spectroscopy,,,owl:Class,subclass,hard x-ray probe,photoelectron spectroscopy,,,,,,,,
1104,http://purl.org/pan-science/PaNET/PaNET01104,high resolution photoelectron spectroscopy,,,,,owl:Class,subclass,spectroscopy,photoelectron emission,versus emitted energy,high energy resolution emission technique,,,,,,
1105,http://purl.org/pan-science/PaNET/PaNET01105,holography,,,,https://en.wikipedia.org/wiki/Holography,owl:Class,subclass,reference beam,imaging,,,,,,,,
1106,http://purl.org/pan-science/PaNET/PaNET01106,imaging,,,,,owl:Class,subclass,defined by functional dependence,,,,,obtain spatial map,,,,
1107,http://purl.org/pan-science/PaNET/PaNET01107,inelastic small angle scatteringng,inelastic SAS,,,,owl:Class,subclass,inelastic scattering,small angle scattering,,,,,,,,
1108,http://purl.org/pan-science/PaNET/PaNET01108,inelastic scattering spectroscopy,,,,,owl:Class,subclass,inelastic scattering,versus energy loss,,,,,,,,
1109,http://purl.org/pan-science/PaNET/PaNET01109,infrared spectroscopy,IR spectroscopy,,,https://en.wikipedia.org/wiki/Infrared_spectroscopy,owl:Class,subclass,IR photon probe,spectroscopy,,,,,,,,
1110,http://purl.org/pan-science/PaNET/PaNET01110,infrared microspectroscopy,,,,,owl:Class,subclass,infrared spectroscopy,microscopy,,,,,,,,
1111,http://purl.org/pan-science/PaNET/PaNET01111,luminescence,,,,https://en.wikipedia.org/wiki/Luminescence,owl:Class,subclass,visible photon emission technique,,,,,,,,,
1112,http://purl.org/pan-science/PaNET/PaNET01112,fluorescence imaging,,,,,owl:Class,subclass,photon emission technique,imaging,,,,,,,,
1113,http://purl.org/pan-science/PaNET/PaNET01113,fluorescence microscopy,microfluorescence,Micro XRF,,,owl:Class,subclass,fluorescence imaging,microscopy,,,,,,,,
1114,http://purl.org/pan-science/PaNET/PaNET01114,muon spectroscopy,,,,https://en.wikipedia.org/wiki/Muon_spin_spectroscopy,owl:Class,subclass,muon probe,muon spin resonance,versus time,obtain internal field,,,,,,
1115,http://purl.org/pan-science/PaNET/PaNET01115,optical spectroscopy,,,,,owl:Class,subclass,visible photon probe,versus energy,,,,,,,,
1116,http://purl.org/pan-science/PaNET/PaNET01116,phase contrast imaging,,,,https://en.wikipedia.org/wiki/Phase-contrast_imaging,owl:Class,subclass,refraction technique,imaging,,,,,,,,
1117,http://purl.org/pan-science/PaNET/PaNET01117,photon correlation spectroscopy,PCS,,,https://en.wikipedia.org/wiki/Dynamic_light_scattering,owl:Class,subclass,coherent diffraction,versus momentum transfer,versus time,,,,,,,
1118,http://purl.org/pan-science/PaNET/PaNET01118,polarised reflectivity,,,,,owl:Class,subclass,reflection technique,versus momentum transfer,versus polarization,,,,,,,
1119,http://purl.org/pan-science/PaNET/PaNET01119,spin echo  scattering,,,,,owl:Class,subclass,neutron probe,spin echo technique,,,,,,,,
1120,http://purl.org/pan-science/PaNET/PaNET01120,quasielastic neutron spin echo scattering,quasi elastic spin echo,quasielastic spin echo,,,owl:Class,subclass,spin echo  scattering,quasielastic scattering,,,,,,,,
1121,http://purl.org/pan-science/PaNET/PaNET01121,reflectometry,reflectivity,,,https://en.wikipedia.org/wiki/Reflectometry,owl:Class,subclass,reflection technique,versus momentum transfer,,,,,,,,
1122,http://purl.org/pan-science/PaNET/PaNET01122,resonant diffraction,anomalous scattering,anomalous diffraction,,,owl:Class,subclass,diffraction,atomic core excitation,resonant scattering,,,,,,,
1123,http://purl.org/pan-science/PaNET/PaNET01123,scanning transmission microscopy,STM,,,,owl:Class,subclass,absorption technique,versus position,scanning probe,microscopy,,,,,,
1124,http://purl.org/pan-science/PaNET/PaNET01124,small angle scattering,SAS,small angle diffraction,,https://en.wikipedia.org/wiki/Small-angle_scattering,owl:Class,subclass,low momentum transfer scattering,diffraction,,,,,,,,
1125,http://purl.org/pan-science/PaNET/PaNET01125,spectroscopy,,,,https://en.wikipedia.org/wiki/Spectroscopy,owl:Class,subclass,defined by functional dependence,,,,,versus energy,,,,
1126,http://purl.org/pan-science/PaNET/PaNET01126,spin echo resolved grazing incidence scattering,,,,,owl:Class,subclass,spin echo  scattering,low surface momentum transfer scattering,,,,,,,,
1127,http://purl.org/pan-science/PaNET/PaNET01127,spin echo small angle scattering,spin echo SANS,,,,owl:Class,subclass,spin echo  scattering,small angle scattering,,,,,,,,
1128,http://purl.org/pan-science/PaNET/PaNET01128,surface diffraction,,,,,owl:Class,subclass,atomic scale diffraction 2D surface or film,,,,,,,,,
1129,http://purl.org/pan-science/PaNET/PaNET01129,tomography,,,,https://en.wikipedia.org/wiki/Tomography,owl:Class,subclass,obtain 3D spatial map,,,,,,,,,
1130,http://purl.org/pan-science/PaNET/PaNET01130,UV VUV spectroscopy,,,,,owl:Class,subclass,UV photon probe,spectroscopy,,,,,,,,
1131,http://purl.org/pan-science/PaNET/PaNET01131,UV and visible circular dichroism spectroscopy,,,,,owl:Class,subclass,UV visible photon probe,dichroism spectroscopy,,,,,,,,
